store,latitude_x,longitude_x,latitude_y,longitude_y,metric_store,start_time,end_time,Starlink,Wi-fi,Генератор,Зняття готівки,Оплата карткою
Store 70,50.4866342,30.5851212,50.486647,30.585121,2.4068806700491248,450,1320,1,1,1,1,1
Store 71,50.4916456,30.5833302,50.491599,30.5833,2.2496874278053016,450,1320,1,1,1,1,1
Store 72,50.4122257,30.6441621,50.412018,30.644346,2.533772058384718,450,1320,1,1,1,1,1
Store 73,50.4395299,30.5922833,50.439748,30.592387,2.3951515915045425,450,1320,1,1,1,1,1
Store 74,50.462617,30.5187733,50.462439,30.519044,2.531478917042255,480,1320,1,1,0,1,1
Store 75,50.4560884,30.4970626,50.456052,30.497252,2.505149978319906,300,1380,1,1,0,1,1
Store 76,50.4966711,30.462591,50.496642,30.4626,2.1455071714096627,450,1350,1,1,1,1,1
Store 77,50.4384659,30.5234749,50.438757,30.523178,2.73870130043471,420,1380,1,1,1,1,1
Store 78,50.4008674,30.6316319,50.400937,30.631575,2.3012470886362113,450,1320,1,1,1,1,1
Store 79,50.4847092,30.6042674,50.484746,30.604443,2.3525683861793087,450,1320,1,1,1,1,1
Store 80,50.3411032,30.5508532,50.340938,30.550683,1.9731278535996988,450,1320,1,1,1,1,1
Store 81,50.4161887,30.5319178,50.416111,30.53186,2.2986347831244354,450,1320,1,1,1,1,1
Store 82,50.421502,30.6499776,50.421521,30.649937,2.6336704060514435,420,1320,1,1,1,1,1
Store 83,50.414165,30.6619003,50.414165,30.661806,2.625209525381881,450,1320,1,1,1,1,1
Store 84,50.4268781,30.6384423,50.427168,30.6392,2.1024337056813365,450,1320,1,1,1,1,1
Store 85,50.427216,30.4588413,50.427084,30.459089,2.3928727454020793,450,1320,1,1,1,1,1
Store 86,50.4321996,30.4553974,50.432254,30.455303,2.2629254693318317,450,1320,1,1,0,1,1
Store 87,50.455872,30.345792,50.455945,30.345746,2.2425414282983844,450,1320,0,1,1,1,1
Store 88,50.4563449,30.5915808,50.456321,30.593928,2.479143247978613,450,1320,1,1,1,1,1
Store 89,50.4536398,30.5987327,50.453254,30.598383,2.2357808703275603,450,1320,1,1,1,1,1
Store 90,50.4726943,30.406255,50.472699,30.406233,2.236537261488694,450,1350,1,1,1,1,1
Store 91,50.4117964,30.4125563,50.411725,30.412683,2.419625360887743,480,1320,1,1,1,1,1
Store 92,50.4713846,30.5175461,50.47131,30.517505,2.485153349903652,480,1320,1,1,1,1,1
Store 93,50.431483,30.6178116,50.431483,30.6178116,2.4387999905723476,450,1320,1,1,1,1,1
Store 94,50.4674724,30.6298298,50.4674724,30.6298298,2.4387999905723476,450,1320,1,1,1,1,1
